SAMPLE 64
1 threads
0.002373
0.003818
0.002324
0.002332
0.002423
0.003094
0.002498
0.002569
0.002525
0.002465
4 threads
0.001736
0.001873
0.001778
0.001499
0.001847
0.001585
0.001498
0.001825
0.001534
0.001561
16 threads
0.016871
0.017163
0.017264
0.017219
0.015647
0.017359
0.018055
0.016291
0.017143
0.018043
SAMPLE 256
1 threads
0.168778
0.141377
0.144441
0.148805
0.173060
0.145274
0.160615
0.160708
0.124131
0.169652
4 threads
0.064662
0.057133
0.038881
0.036306
0.053289
0.037435
0.043596
0.042390
0.037675
0.038118
16 threads
0.124999
0.112961
0.128910
0.104931
0.108943
0.129615
0.115256
0.135644
0.127723
0.122518
SAMPLE 1024
1 threads
7.710658
7.234006
5.860648
5.801191
8.431563
6.158375
8.201994
5.805816
7.751401
8.268535
4 threads
2.256295
2.573721
2.587827
2.367831
2.559854
2.670986
2.386969
2.533694
2.505907
2.584769
16 threads
2.753019
2.937549
2.937385
3.075469
2.972800
3.096662
3.161274
3.044540
3.106504
3.078868
