SAMPLE 64
1 threads
0.003343
0.002411
0.002335
0.002364
0.002358
0.002351
0.002368
0.002387
0.002324
0.002336
4 threads
0.001232
0.001202
0.001222
0.001354
0.001163
0.001194
0.001296
0.001233
0.001213
0.001295
16 threads
0.016060
0.016584
0.017283
0.016576
0.016088
0.016912
0.016563
0.015588
0.017237
0.016913
SAMPLE 256
1 threads
0.167811
0.167392
0.166611
0.140138
0.123772
0.141306
0.140919
0.141025
0.146564
0.139730
4 threads
0.032970
0.033494
0.059830
0.046259
0.055713
0.060561
0.053455
0.033028
0.037473
0.058754
16 threads
0.105116
0.106959
0.125258
0.113927
0.121668
0.124425
0.101709
0.110300
0.122611
0.107301
SAMPLE 1024
1 threads
7.566159
6.807939
6.486328
6.282035
6.264088
7.455615
6.333146
8.431381
6.239774
8.507666
4 threads
2.899641
2.511790
2.672022
2.593627
2.603075
2.811198
2.697677
2.712893
2.693205
3.136238
16 threads
3.108974
2.955955
2.970668
3.150690
2.791017
2.958548
2.814175
2.860269
2.822841
2.868129
